DATASET,METHOD,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,v18,ALL,ALL,400,400.0,350.0,350.0,0.30472727272727274,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.6979220779220779,0.9947428571428572,0.7276041558441559
dev,v18,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.3466666666666667,0.31333333333333335,0.30666666666666664,,,0.6719999999999999,,
dev,v18,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.31999999999999995,,0.31999999999999995,,,,,
dev,v18,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.16000000000000003,0.16000000000000003,,,,,,
dev,v18,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36,0.4,0.30000000000000004,,,0.65,,
dev,v18,MIX_MODE,music_only,50,50.0,0.0,50.0,0.31999999999999995,,0.31999999999999995,,,,,
dev,v18,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.2866666666666667,0.33999999999999997,0.30000000000000004,,,0.6986666666666667,,
dev,v18,MIX_MODE,sequential,100,100.0,100.0,100.0,0.19999999999999998,0.18000000000000002,0.24,,,0.792,,
dev,v18,MIX_MODE,voice_only,50,50.0,50.0,0.0,0.16000000000000003,0.16000000000000003,,,,,,
dev,v18,CHANNEL,clean_flac,66,66.0,58.0,58.0,0.2554347826086957,0.2068965517241379,0.20714285714285713,1.0,0.9935344827586207,0.7687604412079675,0.9967672413793103,0.7915611212251018
dev,v18,CHANNEL,mp3_64k,67,67.0,58.0,59.0,0.18219461697722567,0.27586206896551724,0.30517241379310345,0.9942528735632183,0.9957627118644068,0.7621785535803527,0.9950077927138126,0.7854614774936987
dev,v18,CHANNEL,noisy_flac,66,66.0,58.0,58.0,0.24126984126984127,0.31034482758620685,0.24166666666666667,0.9913793103448276,0.9935344827586207,0.7447961138478381,0.9924568965517242,0.7695621921182267
dev,v18,CHANNEL,ogg_48k,67,67.0,59.0,58.0,0.2950310559006211,0.271264367816092,0.32738095238095233,0.9978813559322034,1.0,0.7000173127721854,0.9989406779661016,0.729909649291577
dev,v18,CHANNEL,stereo_wav,67,67.0,59.0,58.0,0.40454545454545454,0.271264367816092,0.32738095238095233,1.0,0.9942528735632185,0.6452601134497686,0.9971264367816093,0.6804467457829527
dev,v18,CHANNEL,telephone_flac,67,67.0,58.0,59.0,0.3558510638297872,0.27586206896551724,0.42396313364055294,0.9885057471264367,0.9639830508474576,0.6397131141998371,0.9762443989869471,0.6733662426785482
dev,v18,VOICE_EER_GIVEN_MUSIC_FAKE,0,150,,,,,0.28,,,,,,
dev,v18,VOICE_EER_GIVEN_MUSIC_FAKE,1,150,,,,,0.3466666666666667,,,,,,
dev,v18,MUSIC_EER_GIVEN_VOICE_FAKE,0,150,,,,,,0.29333333333333333,,,,,
dev,v18,MUSIC_EER_GIVEN_VOICE_FAKE,1,150,,,,,,0.28,,,,,
dev,v18,FILE_EER_REAL_REAL_VS,fake_voice_real_music,150,,,,0.36,,,,,,,
dev,v18,FILE_EER_REAL_REAL_VS,real_voice_fake_music,150,,,,0.3866666666666667,,,,,,,
dev,v18,FILE_EER_REAL_REAL_VS,both_fake,150,,,,0.28,,,,,,,
dev,v32_file_router,ALL,ALL,400,400.0,350.0,350.0,0.24,0.2857142857142857,0.3085714285714286,0.9962285714285715,0.993257142857143,0.7302857142857143,0.9947428571428572,0.7567314285714286
dev,v32_file_router,AUDIO_TYPE,mixed,300,300.0,300.0,300.0,0.28,0.31333333333333335,0.30666666666666664,,,0.7053333333333333,,
dev,v32_file_router,AUDIO_TYPE,music,50,50.0,0.0,50.0,0.19999999999999998,,0.31999999999999995,,,,,
dev,v32_file_router,AUDIO_TYPE,voice,50,50.0,50.0,0.0,0.12,0.16000000000000003,,,,,,
dev,v32_file_router,MIX_MODE,concurrent,100,100.0,100.0,100.0,0.36,0.4,0.30000000000000004,,,0.65,,
dev,v32_file_router,MIX_MODE,music_only,50,50.0,0.0,50.0,0.19999999999999998,,0.31999999999999995,,,,,
dev,v32_file_router,MIX_MODE,partial_overlap,100,100.0,100.0,100.0,0.2733333333333334,0.33999999999999997,0.30000000000000004,,,0.7053333333333333,,
