CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
g711_ulaw,FILE,48,36,12,432,0.2361111111111111,0.33333333333333337,0.09259259259259256,0.20370370370370372,56,8,0,0,64,-0.07724180997916669,-0.04401089433750002,-0.014373304927777811
g711_ulaw,VOICE,48,24,24,576,0.041666666666666644,0.08333333333333334,0.00868055555555558,0.01041666666666663,6,5,0,0,11,0.015018140683333334,-0.015438848595833332,-0.030877697191666664
g711_ulaw,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05729166666666663,0.11284722222222221,45,13,0,0,58,-0.3853931142666667,-0.15976583254166668,-0.31953166508333336
g722_wb,FILE,48,36,12,432,0.2361111111111111,0.16666666666666663,0.09259259259259256,0.09722222222222221,13,11,0,0,24,0.01039413403958333,-0.009863119752083342,-0.04016049805833335
g722_wb,VOICE,48,24,24,576,0.041666666666666644,0.0,0.00868055555555558,0.0,0,5,0,0,5,0.011715143877083334,-0.016770272681249993,-0.033540545362499986
g722_wb,MUSIC,48,24,24,576,0.16666666666666663,0.16666666666666663,0.05729166666666663,0.046875,5,11,0,0,16,0.004964691499999999,0.010858761841666661,0.02171752368333332
opus_nb_8k,FILE,48,36,12,432,0.2361111111111111,0.33333333333333337,0.09259259259259256,0.2962962962962963,99,11,0,0,110,-0.07707201753125,-0.08854179834375002,-0.13334877220833333
opus_nb_8k,VOICE,48,24,24,576,0.041666666666666644,0.29166666666666663,0.00868055555555558,0.2881944444444444,161,0,0,0,161,0.1888141777520833,-0.24045776611875,-0.48091553223750005
opus_nb_8k,MUSIC,48,24,24,576,0.16666666666666663,0.29166666666666663,0.05729166666666663,0.2777777777777778,135,8,0,0,143,-0.32096484096250005,-0.1744397842333333,-0.3488795684666667
transcode_g711_opus,FILE,48,36,12,432,0.2361111111111111,0.3194444444444444,0.09259259259259256,0.2754629629629629,93,14,0,0,107,-0.07681679200625001,-0.09708906286875,-0.15648177830833332
transcode_g711_opus,VOICE,48,24,24,576,0.041666666666666644,0.33333333333333337,0.00868055555555558,0.29166666666666663,163,0,0,0,163,0.189841546625,-0.2433468958875,-0.48669379177500005
transcode_g711_opus,MUSIC,48,24,24,576,0.16666666666666663,0.33333333333333337,0.05729166666666663,0.2934027777777778,144,8,0,0,152,-0.28420526876458335,-0.16458318290625001,-0.32916636581250003
