GROUP,VALUE,BASE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,0.0,124,124,108,124,0.3138586956521739,0.1479166666666667,0.24193548387096775,0.9837962962962963,,0.7409066736792894,,
ALL,ALL,0.025,124,124,108,124,0.3138586956521739,0.12916666666666665,0.20967741935483875,0.9837962962962963,,0.7543340930341281,,
ALL,ALL,0.05,124,124,108,124,0.21807065217391303,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8070668244506779,,
ALL,ALL,0.075,124,124,108,124,0.18070652173913043,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8257488896680693,,
ALL,ALL,0.1,124,124,108,124,0.18070652173913043,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8257488896680693,,
ALL,ALL,0.15,124,124,108,124,0.15421195652173914,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8389961722767649,,
ALL,ALL,0.2,124,124,108,124,0.15421195652173914,0.12916666666666665,0.19354838709677422,0.9837962962962963,,0.8389961722767649,,
MIX_MODE,concurrent,0.0,32,32,32,32,0.375,0.1875,0.375,,,0.6625,,
MIX_MODE,concurrent,0.025,32,32,32,32,0.375,0.1875,0.375,,,0.6625,,
MIX_MODE,concurrent,0.05,32,32,32,32,0.375,0.25,0.375,,,0.65,,
MIX_MODE,concurrent,0.075,32,32,32,32,0.375,0.25,0.375,,,0.65,,
MIX_MODE,concurrent,0.1,32,32,32,32,0.375,0.25,0.375,,,0.65,,
MIX_MODE,concurrent,0.15,32,32,32,32,0.375,0.25,0.375,,,0.65,,
MIX_MODE,concurrent,0.2,32,32,32,32,0.375,0.25,0.3125,,,0.66875,,
MIX_MODE,music_only,0.0,16,16,0,16,0.125,,0.125,,,,,
MIX_MODE,music_only,0.025,16,16,0,16,0.125,,0.0,,,,,
MIX_MODE,music_only,0.05,16,16,0,16,0.0,,0.0,,,,,
MIX_MODE,music_only,0.075,16,16,0,16,0.0,,0.0,,,,,
MIX_MODE,music_only,0.1,16,16,0,16,0.0,,0.0,,,,,
MIX_MODE,music_only,0.15,16,16,0,16,0.0,,0.0,,,,,
MIX_MODE,music_only,0.2,16,16,0,16,0.0,,0.0,,,,,
MIX_MODE,native_yue_vocal,0.0,12,12,12,12,,,0.16666666666666663,,,,,
MIX_MODE,native_yue_vocal,0.025,12,12,12,12,,,0.16666666666666663,,,,,
MIX_MODE,native_yue_vocal,0.05,12,12,12,12,,,0.0,,,,,
MIX_MODE,native_yue_vocal,0.075,12,12,12,12,,,0.0,,,,,
MIX_MODE,native_yue_vocal,0.1,12,12,12,12,,,0.0,,,,,
MIX_MODE,native_yue_vocal,0.15,12,12,12,12,,,0.0,,,,,
MIX_MODE,native_yue_vocal,0.2,12,12,12,12,,,0.0,,,,,
MIX_MODE,partial_overlap,0.0,32,32,32,32,0.2708333333333333,0.0625,0.1875,,,0.7958333333333334,,
MIX_MODE,partial_overlap,0.025,32,32,32,32,0.25,0.0,0.1875,,,0.81875,,
MIX_MODE,partial_overlap,0.05,32,32,32,32,0.125,0.0,0.125,,,0.8999999999999999,,
MIX_MODE,partial_overlap,0.075,32,32,32,32,0.125,0.0,0.125,,,0.8999999999999999,,
MIX_MODE,partial_overlap,0.1,32,32,32,32,0.125,0.0625,0.1875,,,0.86875,,
MIX_MODE,partial_overlap,0.15,32,32,32,32,0.125,0.0625,0.1875,,,0.86875,,
MIX_MODE,partial_overlap,0.2,32,32,32,32,0.125,0.0625,0.1875,,,0.86875,,
MIX_MODE,sequential,0.0,32,32,32,32,0.25,0.125,0.3125,,,0.7562500000000001,,
MIX_MODE,sequential,0.025,32,32,32,32,0.14583333333333331,0.0625,0.25,,,0.8395833333333333,,
MIX_MODE,sequential,0.05,32,32,32,32,0.020833333333333315,0.0625,0.125,,,0.9395833333333334,,
MIX_MODE,sequential,0.075,32,32,32,32,0.020833333333333315,0.0625,0.125,,,0.9395833333333334,,
MIX_MODE,sequential,0.1,32,32,32,32,0.0,0.0625,0.0625,,,0.96875,,
MIX_MODE,sequential,0.15,32,32,32,32,0.0,0.0625,0.0625,,,0.96875,,
MIX_MODE,sequential,0.2,32,32,32,32,0.0,0.0625,0.0625,,,0.96875,,
COMPONENT_CASE,music_fake,0.0,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.025,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.05,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.075,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.1,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.15,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_fake,0.2,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.0,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.025,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.05,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.075,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.1,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.15,8,8,0,8,,,,,,,,
COMPONENT_CASE,music_real,0.2,8,8,0,8,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.0,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.025,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.05,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.075,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.1,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.15,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.2,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.0,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.025,30,30,30,30,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.05,30,30,30,30,,,,,,,,
