DATASET,MUSIC_WEIGHT,FILE_RATIO,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.0,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.0,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.025,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.025,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.05,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.05,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.075,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.075,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.1,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.1,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
