axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
DURATION|MIX_MODE|CHANNEL,10|real_voice|clean,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_voice|g711_ulaw,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|real_voice|opus_nb_8k,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|clean,40,40,40,40,0.09999999999999999,0.25,0.15000000000000002,,,0.8550000000000001,,
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|g711_ulaw,40,40,40,40,0.18333333333333332,0.25,0.19999999999999998,,,0.7983333333333333,,
DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|opus_nb_8k,40,40,40,40,0.21666666666666665,0.25,0.5,,,0.6916666666666668,,
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|clean,40,40,40,40,0.18333333333333332,0.15000000000000002,0.15000000000000002,,,0.8333333333333334,,
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|g711_ulaw,40,40,40,40,0.19999999999999998,0.19999999999999998,0.19999999999999998,,,0.8,,
DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|opus_nb_8k,40,40,40,40,0.30000000000000004,0.19999999999999998,0.35,,,0.7050000000000001,,
DURATION|MIX_MODE|CHANNEL,10|sparse_music|clean,40,40,40,40,0.30000000000000004,0.35,0.44999999999999996,,,0.645,,
DURATION|MIX_MODE|CHANNEL,10|sparse_music|g711_ulaw,40,40,40,40,0.21666666666666665,0.25,0.5,,,0.6916666666666668,,
DURATION|MIX_MODE|CHANNEL,10|sparse_music|opus_nb_8k,40,40,40,40,0.19999999999999998,0.25,0.4,,,0.73,,
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|clean,40,40,40,40,0.30000000000000004,0.44999999999999996,0.09999999999999999,,,0.73,,
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|g711_ulaw,40,40,40,40,0.30000000000000004,0.55,0.19999999999999998,,,0.6799999999999999,,
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|opus_nb_8k,40,40,40,40,0.38333333333333336,0.55,0.5,,,0.5483333333333333,,
DURATION|MIX_MODE|CHANNEL,30|concurrent|clean,40,40,40,40,0.18333333333333332,0.15000000000000002,0.09999999999999999,,,0.8483333333333334,,
DURATION|MIX_MODE|CHANNEL,30|concurrent|g711_ulaw,40,40,40,40,0.19999999999999998,0.09999999999999999,0.09999999999999999,,,0.8500000000000001,,
DURATION|MIX_MODE|CHANNEL,30|concurrent|opus_nb_8k,40,40,40,40,0.21666666666666665,0.25,0.4,,,0.7216666666666667,,
DURATION|MIX_MODE|CHANNEL,30|fake_music|clean,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_music|g711_ulaw,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_music|opus_nb_8k,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|clean,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|g711_ulaw,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|opus_nb_8k,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|clean,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|g711_ulaw,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|opus_nb_8k,10,10,0,10,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|clean,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|g711_ulaw,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|opus_nb_8k,10,10,10,0,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|clean,40,40,40,40,0.11666666666666665,0.09999999999999999,0.09999999999999999,,,0.8916666666666667,,
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|g711_ulaw,40,40,40,40,0.18333333333333332,0.09999999999999999,0.19999999999999998,,,0.8283333333333334,,
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|opus_nb_8k,40,40,40,40,0.09999999999999999,0.050000000000000024,0.35,,,0.835,,
DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|clean,40,40,40,40,0.11666666666666665,0.09999999999999999,0.09999999999999999,,,0.8916666666666667,,
