NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
0.075,0.05,0.28181818181818186,0.7093766233766233,0.2570909090909091,0.7445974025974027,0.22242857142857142,0.7517857142857143,0.14877717391304346,0.8471302302477793,0.011454545454545384,-0.0009090909090908594,0.017928571428571405,0.018682065217391353,-0.0009090909090908594,0.011900515245623966
0.075,0.025,0.28181818181818186,0.7093766233766233,0.2570909090909091,0.7445974025974027,0.24242857142857144,0.7417857142857143,0.14877717391304346,0.8471302302477793,0.011454545454545384,-0.0009090909090908594,0.007928571428571396,0.018682065217391353,-0.0009090909090908594,0.00856718191229063
0.05,0.1,0.2876363636363636,0.7064675324675325,0.24181818181818182,0.7522337662337663,0.19414285714285714,0.7659285714285714,0.14877717391304346,0.8471302302477793,0.008545454545454523,0.006727272727272693,0.03207142857142853,0.018682065217391353,0.006727272727272693,0.019160255505364193
0.05,0.25,0.2876363636363636,0.7064675324675325,0.24763636363636365,0.7493246753246754,0.17414285714285713,0.7759285714285714,0.14877717391304346,0.8471302302477793,0.008545454545454523,0.0038181818181818317,0.04207142857142854,0.018682065217391353,0.0038181818181818317,0.021523891869000573
0.05,0.075,0.2876363636363636,0.7064675324675325,0.24763636363636365,0.7493246753246754,0.20585714285714285,0.7600714285714286,0.14877717391304346,0.8471302302477793,0.008545454545454523,0.0038181818181818317,0.026214285714285745,0.018682065217391353,0.0038181818181818317,0.01623817758328631
0.025,0.125,0.2894545454545454,0.7055584415584416,0.24763636363636365,0.7493246753246754,0.18999999999999997,0.768,0.15964673913043476,0.8416954476390837,0.007636363636363663,0.0038181818181818317,0.03414285714285714,0.013247282608695676,0.0038181818181818317,0.017069440523244883
0.05,0.05,0.2894545454545454,0.7055584415584416,0.24763636363636365,0.7493246753246754,0.22242857142857142,0.7517857142857143,0.14877717391304346,0.8471302302477793,0.007636363636363663,0.0038181818181818317,0.017928571428571405,0.018682065217391353,0.0038181818181818317,0.01347627282138153
0.025,0.15,0.2894545454545454,0.7055584415584416,0.24945454545454543,0.7484155844155845,0.1817142857142857,0.7721428571428571,0.15964673913043476,0.8416954476390837,0.007636363636363663,0.0029090909090909722,0.038285714285714256,0.013247282608695676,0.0029090909090909722,0.018147362601166967
0.025,0.25,0.2894545454545454,0.7055584415584416,0.25527272727272726,0.7455064935064936,0.17414285714285713,0.7759285714285714,0.15964673913043476,0.8416954476390837,0.007636363636363663,0.0,0.04207142857142854,0.013247282608695676,0.0,0.018439570393374738
0.025,0.2,0.2894545454545454,0.7055584415584416,0.25527272727272726,0.7455064935064936,0.1824285714285714,0.7717857142857143,0.15964673913043476,0.8416954476390837,0.007636363636363663,0.0,0.03792857142857142,0.013247282608695676,0.0,0.017058618012422366
0.0,0.2,0.2894545454545454,0.7055584415584416,0.25527272727272726,0.7455064935064936,0.1824285714285714,0.7717857142857143,0.1861413043478261,0.828448165030388,0.007636363636363663,0.0,0.03792857142857142,0.0,0.0,0.012642857142857141
0.05,0.025,0.2894545454545454,0.7055584415584416,0.25527272727272726,0.7455064935064936,0.24242857142857144,0.7417857142857143,0.14877717391304346,0.8471302302477793,0.007636363636363663,0.0,0.007928571428571396,0.018682065217391353,0.0,0.008870212215320916
0.05,0.0,0.2894545454545454,0.7055584415584416,0.25527272727272726,0.7455064935064936,0.2582857142857143,0.7338571428571429,0.14877717391304346,0.8471302302477793,0.007636363636363663,0.0,0.0,0.018682065217391353,0.0,0.0062273550724637845
0.025,0.1,0.29527272727272724,0.7026493506493506,0.24763636363636365,0.7493246753246754,0.19414285714285714,0.7659285714285714,0.15964673913043476,0.8416954476390837,0.004727272727272691,0.0038181818181818317,0.03207142857142853,0.013247282608695676,0.0038181818181818317,0.01637896433276868
0.025,0.075,0.29527272727272724,0.7026493506493506,0.24763636363636365,0.7493246753246754,0.20585714285714285,0.7600714285714286,0.15964673913043476,0.8416954476390837,0.004727272727272691,0.0038181818181818317,0.026214285714285745,0.013247282608695676,0.0038181818181818317,0.01442658338038775
0.0,0.25,0.29527272727272724,0.7026493506493506,0.25527272727272726,0.7455064935064936,0.17414285714285713,0.7759285714285714,0.1861413043478261,0.828448165030388,0.004727272727272691,0.0,0.04207142857142854,0.0,0.0,0.014023809523809513
0.0,0.15,0.29527272727272724,0.7026493506493506,0.25527272727272726,0.7455064935064936,0.1817142857142857,0.7721428571428571,0.1861413043478261,0.828448165030388,0.004727272727272691,0.0,0.038285714285714256,0.0,0.0,0.012761904761904752
0.0,0.125,0.29527272727272724,0.7026493506493506,0.24945454545454543,0.7484155844155845,0.18999999999999997,0.768,0.1861413043478261,0.828448165030388,0.004727272727272691,0.0029090909090909722,0.03414285714285714,0.0,0.0,0.01235064935064937
0.025,0.05,0.29709090909090907,0.7017402597402598,0.24945454545454543,0.7484155844155845,0.22242857142857142,0.7517857142857143,0.15964673913043476,0.8416954476390837,0.0038181818181818317,0.0029090909090909722,0.017928571428571405,0.013247282608695676,0.0029090909090909722,0.011361648315452685
0.025,0.025,0.29709090909090907,0.7017402597402598,0.24945454545454543,0.7484155844155845,0.24242857142857144,0.7417857142857143,0.15964673913043476,0.8416954476390837,0.0038181818181818317,0.0029090909090909722,0.007928571428571396,0.013247282608695676,0.0029090909090909722,0.008028314982119348
0.025,0.0,0.29709090909090907,0.7017402597402598,0.24763636363636365,0.7493246753246754,0.2582857142857143,0.7338571428571429,0.15964673913043476,0.8416954476390837,0.0038181818181818317,0.0038181818181818317,0.0,0.013247282608695676,0.0,0.005688488142292503
0.0,0.1,0.30472727272727274,0.6979220779220779,0.24763636363636365,0.7493246753246754,0.19414285714285714,0.7659285714285714,0.1861413043478261,0.828448165030388,0.0,0.0038181818181818317,0.03207142857142853,0.0,0.0,0.011963203463203453
0.0,0.075,0.30472727272727274,0.6979220779220779,0.24945454545454543,0.7484155844155845,0.20585714285714285,0.7600714285714286,0.1861413043478261,0.828448165030388,0.0,0.0029090909090909722,0.026214285714285745,0.0,0.0,0.00970779220779224
0.0,0.05,0.30472727272727274,0.6979220779220779,0.25527272727272726,0.7455064935064936,0.22242857142857142,0.7517857142857143,0.1861413043478261,0.828448165030388,0.0,0.0,0.017928571428571405,0.0,0.0,0.005976190476190468
0.0,0.025,0.30472727272727274,0.6979220779220779,0.25527272727272726,0.7455064935064936,0.24242857142857144,0.7417857142857143,0.1861413043478261,0.828448165030388,0.0,0.0,0.007928571428571396,0.0,0.0,0.002642857142857132
0.0,0.0,0.30472727272727274,0.6979220779220779,0.25527272727272726,0.7455064935064936,0.2582857142857143,0.7338571428571429,0.1861413043478261,0.828448165030388,0.0,0.0,0.0,0.0,0.0,0.0
