axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
VOICE_GENERATOR,A10,25,25,25,25,,,0.2833333333333333,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.4,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.03333333333333333,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.10250000000000001,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.22116923076923078,,0.13119999999999998,,0.999936,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.15476190476190474,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,1.0,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.14003588925968719,0.19986595174262736,0.10675755855948818,0.9998759766836165,0.9974062071703962,0.8579815974537846,0.9986410919270063,0.8720475469011068
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.16181818181818183,0.15090909090909088,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.20833333333333337,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.45,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.15625,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.4807692307692308,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.2061855670103093,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.15625,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.21666666666666667,0.22666666666666668,,0.9954666666666667,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.2111111111111111,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.13992172211350293,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.1155844155844156,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.14259364450268203,0.19855064894367114,0.10520167240531234,0.9998618777398551,0.9974809312786215,0.8574325462383311,0.9986714045092383,0.8715564320654218
