GROUP,VALUE,BASE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ALL,ALL,0.0,1200,1200,800,800,0.3082857142857143,0.1825,0.4,0.956603125,0.9840593750000001,0.6893571428571428,0.9703312500000001,0.7174545535714286
ALL,ALL,0.025,1200,1200,800,800,0.3017142857142857,0.1775,0.395,0.956603125,0.9840593750000001,0.6951428571428572,0.9703312500000001,0.7226616964285715
ALL,ALL,0.05,1200,1200,800,800,0.2917142857142857,0.1725,0.38249999999999995,0.956603125,0.9840593750000001,0.7048928571428572,0.9703312500000001,0.7314366964285716
ALL,ALL,0.075,1200,1200,800,800,0.28414285714285714,0.16749999999999998,0.37749999999999995,0.956603125,0.9840593750000001,0.7111785714285714,0.9703312500000001,0.7370938392857144
ALL,ALL,0.1,1200,1200,800,800,0.2775714285714286,0.16500000000000004,0.36750000000000005,0.956603125,0.9840593750000001,0.7179642857142857,0.9703312500000001,0.7432009821428572
ALL,ALL,0.15,1200,1200,800,800,0.2517142857142857,0.15000000000000002,0.365,0.956603125,0.9840593750000001,0.7346428571428572,0.9703312500000001,0.7582116964285716
ALL,ALL,0.2,1200,1200,800,800,0.26585714285714285,0.14500000000000002,0.33999999999999997,0.956603125,0.9840593750000001,0.7360714285714287,0.9703312500000001,0.7594974107142859
CHANNEL,g711_ulaw,0.0,300,300,200,200,0.24685714285714283,0.08999999999999998,0.33999999999999997,0.9617,0.9845000000000002,0.7565714285714287,0.9731000000000001,0.7782242857142858
CHANNEL,g711_ulaw,0.025,300,300,200,200,0.24685714285714283,0.09999999999999999,0.33999999999999997,0.9617,0.9845000000000002,0.7545714285714287,0.9731000000000001,0.7764242857142858
CHANNEL,g711_ulaw,0.05,300,300,200,200,0.24685714285714283,0.09999999999999999,0.32999999999999996,0.9617,0.9845000000000002,0.7575714285714286,0.9731000000000001,0.7791242857142857
CHANNEL,g711_ulaw,0.075,300,300,200,200,0.23314285714285715,0.08999999999999998,0.32999999999999996,0.9617,0.9845000000000002,0.7664285714285715,0.9731000000000001,0.7870957142857143
CHANNEL,g711_ulaw,0.1,300,300,200,200,0.24685714285714283,0.08999999999999998,0.32999999999999996,0.9617,0.9845000000000002,0.7595714285714286,0.9731000000000001,0.7809242857142857
CHANNEL,g711_ulaw,0.15,300,300,200,200,0.26342857142857146,0.08999999999999998,0.33999999999999997,0.9617,0.9845000000000002,0.7482857142857142,0.9731000000000001,0.7707671428571429
CHANNEL,g711_ulaw,0.2,300,300,200,200,0.24685714285714283,0.08999999999999998,0.31999999999999995,0.9617,0.9845000000000002,0.7625714285714287,0.9731000000000001,0.7836242857142859
CHANNEL,g726_24k,0.0,300,300,200,200,0.23028571428571426,0.08999999999999998,0.35,0.9618,0.9813000000000001,0.761857142857143,0.97155,0.7828264285714287
CHANNEL,g726_24k,0.025,300,300,200,200,0.21657142857142858,0.07999999999999999,0.31999999999999995,0.9618,0.9813000000000001,0.7797142857142858,0.97155,0.7988978571428572
CHANNEL,g726_24k,0.05,300,300,200,200,0.21657142857142858,0.07999999999999999,0.31000000000000005,0.9618,0.9813000000000001,0.7827142857142857,0.97155,0.8015978571428571
CHANNEL,g726_24k,0.075,300,300,200,200,0.20685714285714285,0.07999999999999999,0.31999999999999995,0.9618,0.9813000000000001,0.7845714285714287,0.97155,0.8032692857142858
CHANNEL,g726_24k,0.1,300,300,200,200,0.1902857142857143,0.06999999999999998,0.31000000000000005,0.9618,0.9813000000000001,0.7978571428571428,0.97155,0.8152264285714286
CHANNEL,g726_24k,0.15,300,300,200,200,0.1834285714285714,0.06999999999999998,0.31000000000000005,0.9618,0.9813000000000001,0.8012857142857143,0.97155,0.8183121428571428
CHANNEL,g726_24k,0.2,300,300,200,200,0.21657142857142858,0.06999999999999998,0.29000000000000004,0.9618,0.9813000000000001,0.7907142857142857,0.97155,0.8087978571428571
CHANNEL,opus_nb_8k,0.0,300,300,200,200,0.44971428571428573,0.26,0.39,0.9662,0.9826500000000001,0.6061428571428571,0.9744250000000001,0.6429710714285714
