ROUTE,NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
soft,0.0,0.075,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.010000000000000009,0.0,0.0,0.003333333333333336
hard,0.0,0.075,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.010000000000000009,0.0,0.0,0.003333333333333336
soft,0.0,0.05,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.1382857142857143,0.8601071428571427,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.005857142857142783,0.0,0.0,0.0019523809523809277
hard,0.0,0.05,0.19999999999999998,0.7914285714285714,0.20763636363636362,0.7944675324675325,0.1382857142857143,0.8601071428571427,0.09578804347826086,0.8881409244974288,0.0038181818181817206,0.0,0.005857142857142783,0.0,0.0,0.0019523809523809277
soft,0.0,0.15,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.01207142857142851,0.0,-0.0038181818181819427,0.0027510822510821895
soft,0.0,0.125,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12757142857142856,0.8654642857142858,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.011214285714285843,0.0,-0.0038181818181819427,0.002465367965367967
hard,0.0,0.125,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12757142857142856,0.8654642857142858,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.011214285714285843,0.0,-0.0038181818181819427,0.002465367965367967
hard,0.0,0.15,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12828571428571428,0.8651071428571429,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.010857142857142899,0.0,-0.0038181818181819427,0.0023463203463203186
soft,0.0,0.1,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.010000000000000009,0.0,-0.0038181818181819427,0.002060606060606022
hard,0.0,0.1,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.010000000000000009,0.0,-0.0038181818181819427,0.002060606060606022
soft,0.0,0.025,0.2018181818181818,0.7905194805194805,0.20763636363636362,0.7944675324675325,0.14414285714285713,0.8571785714285713,0.09578804347826086,0.8881409244974288,0.002909090909090861,0.0,0.0029285714285713915,0.0,0.0,0.0009761904761904638
hard,0.0,0.025,0.2018181818181818,0.7905194805194805,0.20763636363636362,0.7944675324675325,0.14414285714285713,0.8571785714285713,0.09578804347826086,0.8881409244974288,0.002909090909090861,0.0,0.0029285714285713915,0.0,0.0,0.0009761904761904638
soft,0.0,0.2,0.2018181818181818,0.7905194805194805,0.21709090909090906,0.7897402597402599,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,0.002909090909090861,-0.004727272727272691,0.015857142857142792,0.0,-0.004727272727272691,0.0037099567099567
hard,0.0,0.2,0.2018181818181818,0.7905194805194805,0.21709090909090906,0.7897402597402599,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,0.002909090909090861,-0.004727272727272691,0.015857142857142792,0.0,-0.004727272727272691,0.0037099567099567
soft,0.0,0.25,0.2018181818181818,0.7905194805194805,0.22472727272727272,0.7859220779220779,0.11414285714285716,0.8721785714285715,0.09578804347826086,0.8881409244974288,0.002909090909090861,-0.008545454545454634,0.017928571428571516,0.0,-0.008545454545454634,0.003127705627705627
hard,0.0,0.25,0.2018181818181818,0.7905194805194805,0.22472727272727272,0.7859220779220779,0.11414285714285716,0.8721785714285715,0.09578804347826086,0.8881409244974288,0.002909090909090861,-0.008545454545454634,0.017928571428571516,0.0,-0.008545454545454634,0.003127705627705627
soft,0.05,0.125,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.12757142857142856,0.8654642857142858,0.09578804347826086,0.8881409244974288,0.0,0.0,0.011214285714285843,0.0,0.0,0.003738095238095281
hard,0.05,0.125,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.12757142857142856,0.8654642857142858,0.09578804347826086,0.8881409244974288,0.0,0.0,0.011214285714285843,0.0,0.0,0.003738095238095281
soft,0.05,0.15,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.12828571428571428,0.8651071428571429,0.09578804347826086,0.8881409244974288,0.0,0.0,0.010857142857142899,0.0,0.0,0.003619047619047633
hard,0.05,0.15,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.12828571428571428,0.8651071428571429,0.09578804347826086,0.8881409244974288,0.0,0.0,0.010857142857142899,0.0,0.0,0.003619047619047633
soft,0.05,0.075,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0,0.0,0.010000000000000009,0.0,0.0,0.003333333333333336
soft,0.05,0.1,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.13,0.86425,0.09578804347826086,0.8881409244974288,0.0,0.0,0.010000000000000009,0.0,0.0,0.003333333333333336
